label, Latitude, Longitude
10, 40.76407, -73.973135
10, 40.763862, -73.972933
10, 40.764083, -73.97313
10, 40.76427, -73.97332
10, 40.758383, -73.97677799999998
10, 40.758397, -73.976893
10, 40.758512, -73.976808
10, 40.758424, -73.97680099999998
10, 40.758574, -73.977078
10, 40.758471, -73.97693599999998
10, 40.758526, -73.977091
10, 40.758493, -73.977294
10, 40.75807, -73.976095
10, 40.758192, -73.975892
10, 40.758077, -73.976022
10, 40.758098, -73.976287
10, 40.757988, -73.976027
10, 40.758123, -73.976273
10, 40.758219, -73.975958
10, 40.758138, -73.97616999999998
10, 40.757967, -73.97620999999998
10, 40.763707, -73.972847
10, 40.76402, -73.97273199999998
10, 40.764483, -73.973482
10, 40.764452, -73.973538
10, 40.764488, -73.97324999999998
10, 40.758188, -73.97677
10, 40.75828, -73.977107
10, 40.758338, -73.977125
10, 40.758449, -73.977345
10, 40.758478, -73.97754299999998
10, 40.758183, -73.975612
10, 40.757784, -73.976387
10, 40.757805, -73.97640099999998
10, 40.764417, -73.97296199999998
10, 40.764675, -73.973082
10, 40.758103, -73.976663
10, 40.758032, -73.976967
10, 40.757994, -73.97680599999998
10, 40.75817, -73.97735
10, 40.758035, -73.977052
10, 40.758234, -73.977479
10, 40.758663, -73.97756699999998
10, 40.758457, -73.97549999999998
10, 40.758075, -73.97547799999998
10, 40.75834, -73.975603
10, 40.764462, -73.97273
10, 40.764582, -73.97275999999998
10, 40.764496, -73.97280499999998
10, 40.764465, -73.97274299999998
10, 40.764474, -73.972891
10, 40.764613, -73.972868
10, 40.764767, -73.972802
10, 40.75784, -73.97714499999998
10, 40.757817, -73.977175
10, 40.757825, -73.976995
10, 40.758073, -73.977356
10, 40.758044, -73.977501
10, 40.757964, -73.977514
10, 40.758111, -73.977501
10, 40.758149, -73.97741
10, 40.757928, -73.977374
10, 40.757933, -73.977495
10, 40.758069, -73.977542
10, 40.75806, -73.97748799999998
10, 40.7581, -73.977602
10, 40.757833, -73.97721199999998
10, 40.758462, -73.97546199999998
10, 40.758403, -73.975232
10, 40.758591, -73.975629
10, 40.758345, -73.97532599999998
10, 40.764693, -73.972727
10, 40.764592, -73.972688
10, 40.764571, -73.972695
10, 40.764638, -73.972672
10, 40.764771, -73.972586
10, 40.764776, -73.972587
10, 40.764748, -73.97263499999998
10, 40.764814, -73.97256199999998
10, 40.765033, -73.97271399999998
10, 40.757823, -73.977422
10, 40.75765, -73.977047
10, 40.757695, -73.977237
10, 40.757581, -73.97735199999998
